description,industry,level,size,line_code,value,Unit,Footnotes
Regular communication with employees about: plans: not applicable,Other wholesale trade,2,total,C0901.04,120,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Retail trade,1,total,C0901.04,222,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Accommodation & food services,1,total,C0901.04,519,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,"Transport, postal, & warehousing",1,total,C0901.04,162,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Information media & telecommunications,1,total,C0901.04,9,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Publishing,2,total,C0901.04,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Motion picture,2,total,C0901.04,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Telecommunications,2,total,C0901.04,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Financial & insurance services,1,total,C0901.04,33,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Finance,2,total,C0901.04,18,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Insurance,2,total,C0901.04,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Auxiliary,2,total,C0901.04,18,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,"Rental, hiring, & real estate services",1,total,C0901.04,78,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,"Professional, scientific, & technical services",1,total,C0901.04,129,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Computer systems design,2,total,C0901.04,24,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Other professional scientific,2,total,C0901.04,111,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Administrative & support services,1,total,C0901.04,63,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Education & training,1,total,C0901.04,12,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Health care & social assistance,1,total,C0901.04,33,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Arts & recreation services,1,total,C0901.04,33,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,Other services,1,total,C0901.04,114,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: plans: not applicable,total,0,total,C0901.04,2523,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,total,0,6019 employees,C0902.01,22659,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: yes,total,0,20049 employees,C0902.01,6339,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: yes,total,0,50099 employees,C0902.01,1920,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: yes,total,0,100+ employees,C0902.01,1731,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: yes,"Agriculture, forestry, & fishing",1,total,C0902.01,2481,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Agriculture,2,total,C0902.01,1662,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Commercial fishing,2,total,C0902.01,33,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Forestry & logging,2,total,C0902.01,192,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,"Agriculture, forestry, & fishing support services",2,total,C0902.01,594,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Mining,1,total,C0902.01,81,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: goals: yes,Manufacturing,1,total,C0902.01,3441,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,"Food, beverage, & tobacco",2,total,C0902.01,846,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,"Textile, clothing, footwear, & leather",2,total,C0902.01,150,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Wood & paper product,2,total,C0902.01,291,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,"Printing, publishing, & recorded media",2,total,C0902.01,129,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,"Petroleum, coal, chemical, & associated product",2,total,C0902.01,297,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Non-metallic mineral product,2,total,C0902.01,138,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Metal product,2,total,C0902.01,606,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Transport and industrial machinery & equipment,2,total,C0902.01,570,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Other machinery & equipment,2,total,C0902.01,168,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Other manufacturing,2,total,C0902.01,243,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,"Electricity, gas, water, & waste services",1,total,C0902.01,147,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: goals: yes,Construction,1,total,C0902.01,4494,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Wholesale trade,1,total,C0902.01,2295,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Machinery & equipment wholesaling,2,total,C0902.01,744,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Other wholesale trade,2,total,C0902.01,1548,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Retail trade,1,total,C0902.01,3615,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Accommodation & food services,1,total,C0902.01,3564,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,"Transport, postal, & warehousing",1,total,C0902.01,975,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Information media & telecommunications,1,total,C0902.01,384,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Publishing,2,total,C0902.01,165,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Motion picture,2,total,C0902.01,114,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Telecommunications,2,total,C0902.01,102,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Financial & insurance services,1,total,C0902.01,597,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Finance,2,total,C0902.01,177,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Insurance,2,total,C0902.01,36,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Auxiliary,2,total,C0902.01,387,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,"Rental, hiring, & real estate services",1,total,C0902.01,708,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,"Professional, scientific, & technical services",1,total,C0902.01,4104,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Computer systems design,2,total,C0902.01,834,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Other professional scientific,2,total,C0902.01,3273,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Administrative & support services,1,total,C0902.01,1329,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Education & training,1,total,C0902.01,1002,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Health care & social assistance,1,total,C0902.01,2226,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Arts & recreation services,1,total,C0902.01,399,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,Other services,1,total,C0902.01,804,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: yes,total,0,total,C0902.01,32649,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,total,0,6019 employees,C0902.02,8103,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: not,total,0,20049 employees,C0902.02,1800,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: not,total,0,50099 employees,C0902.02,450,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: not,total,0,100+ employees,C0902.02,282,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: not,"Agriculture, forestry, & fishing",1,total,C0902.02,822,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Agriculture,2,total,C0902.02,519,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Commercial fishing,2,total,C0902.02,18,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Forestry & logging,2,total,C0902.02,36,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,"Agriculture, forestry, & fishing support services",2,total,C0902.02,252,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Mining,1,total,C0902.02,27,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: goals: not,Manufacturing,1,total,C0902.02,1491,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,"Food, beverage, & tobacco",2,total,C0902.02,261,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,"Textile, clothing, footwear, & leather",2,total,C0902.02,69,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Wood & paper product,2,total,C0902.02,156,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,"Printing, publishing, & recorded media",2,total,C0902.02,54,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,"Petroleum, coal, chemical, & associated product",2,total,C0902.02,90,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Non-metallic mineral product,2,total,C0902.02,63,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Metal product,2,total,C0902.02,327,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Transport and industrial machinery & equipment,2,total,C0902.02,297,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Other machinery & equipment,2,total,C0902.02,60,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Other manufacturing,2,total,C0902.02,108,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,"Electricity, gas, water, & waste services",1,total,C0902.02,36,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: goals: not,Construction,1,total,C0902.02,1890,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Wholesale trade,1,total,C0902.02,651,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Machinery & equipment wholesaling,2,total,C0902.02,132,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Other wholesale trade,2,total,C0902.02,516,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Retail trade,1,total,C0902.02,1080,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Accommodation & food services,1,total,C0902.02,1650,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,"Transport, postal, & warehousing",1,total,C0902.02,393,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Information media & telecommunications,1,total,C0902.02,57,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Publishing,2,total,C0902.02,18,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Motion picture,2,total,C0902.02,24,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Telecommunications,2,total,C0902.02,15,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Financial & insurance services,1,total,C0902.02,57,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Finance,2,total,C0902.02,18,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Insurance,2,total,C0902.02,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Auxiliary,2,total,C0902.02,39,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,"Rental, hiring, & real estate services",1,total,C0902.02,189,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,"Professional, scientific, & technical services",1,total,C0902.02,858,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Computer systems design,2,total,C0902.02,114,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Other professional scientific,2,total,C0902.02,744,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Administrative & support services,1,total,C0902.02,399,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Education & training,1,total,C0902.02,156,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Health care & social assistance,1,total,C0902.02,393,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Arts & recreation services,1,total,C0902.02,102,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,Other services,1,total,C0902.02,381,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not,total,0,total,C0902.02,10635,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,total,0,6019 employees,C0902.03,2088,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: don't know,total,0,20049 employees,C0902.03,324,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: don't know,total,0,50099 employees,C0902.03,75,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: don't know,total,0,100+ employees,C0902.03,54,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: don't know,"Agriculture, forestry, & fishing",1,total,C0902.03,108,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Agriculture,2,total,C0902.03,54,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Commercial fishing,2,total,C0902.03,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Forestry & logging,2,total,C0902.03,18,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,"Agriculture, forestry, & fishing support services",2,total,C0902.03,36,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Mining,1,total,C0902.03,9,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: goals: don't know,Manufacturing,1,total,C0902.03,225,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,"Food, beverage, & tobacco",2,total,C0902.03,51,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,"Textile, clothing, footwear, & leather",2,total,C0902.03,15,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Wood & paper product,2,total,C0902.03,33,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,"Printing, publishing, & recorded media",2,total,C0902.03,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,"Petroleum, coal, chemical, & associated product",2,total,C0902.03,33,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Non-metallic mineral product,2,total,C0902.03,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Metal product,2,total,C0902.03,51,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Transport and industrial machinery & equipment,2,total,C0902.03,24,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Other machinery & equipment,2,total,C0902.03,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Other manufacturing,2,total,C0902.03,9,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,"Electricity, gas, water, & waste services",1,total,C0902.03,9,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: goals: don't know,Construction,1,total,C0902.03,405,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Wholesale trade,1,total,C0902.03,84,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Machinery & equipment wholesaling,2,total,C0902.03,21,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Other wholesale trade,2,total,C0902.03,60,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Retail trade,1,total,C0902.03,246,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Accommodation & food services,1,total,C0902.03,744,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,"Transport, postal, & warehousing",1,total,C0902.03,147,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Information media & telecommunications,1,total,C0902.03,9,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Publishing,2,total,C0902.03,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Motion picture,2,total,C0902.03,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Telecommunications,2,total,C0902.03,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Financial & insurance services,1,total,C0902.03,9,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Finance,2,total,C0902.03,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Insurance,2,total,C0902.03,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Auxiliary,2,total,C0902.03,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,"Rental, hiring, & real estate services",1,total,C0902.03,72,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,"Professional, scientific, & technical services",1,total,C0902.03,96,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Computer systems design,2,total,C0902.03,21,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Other professional scientific,2,total,C0902.03,81,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Administrative & support services,1,total,C0902.03,42,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Education & training,1,total,C0902.03,24,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Health care & social assistance,1,total,C0902.03,192,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Arts & recreation services,1,total,C0902.03,30,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,Other services,1,total,C0902.03,84,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: don't know,total,0,total,C0902.03,2541,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,total,0,6019 employees,C0902.04,2706,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: not applicable,total,0,20049 employees,C0902.04,312,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: not applicable,total,0,50099 employees,C0902.04,87,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: not applicable,total,0,100+ employees,C0902.04,39,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: goals: not applicable,"Agriculture, forestry, & fishing",1,total,C0902.04,339,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Agriculture,2,total,C0902.04,219,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Commercial fishing,2,total,C0902.04,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Forestry & logging,2,total,C0902.04,15,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,"Agriculture, forestry, & fishing support services",2,total,C0902.04,102,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Mining,1,total,C0902.04,9,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: goals: not applicable,Manufacturing,1,total,C0902.04,255,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,"Food, beverage, & tobacco",2,total,C0902.04,72,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,"Textile, clothing, footwear, & leather",2,total,C0902.04,18,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Wood & paper product,2,total,C0902.04,39,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,"Printing, publishing, & recorded media",2,total,C0902.04,12,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,"Petroleum, coal, chemical, & associated product",2,total,C0902.04,21,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Non-metallic mineral product,2,total,C0902.04,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Metal product,2,total,C0902.04,18,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Transport and industrial machinery & equipment,2,total,C0902.04,51,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Other machinery & equipment,2,total,C0902.04,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Other manufacturing,2,total,C0902.04,12,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,"Electricity, gas, water, & waste services",1,total,C0902.04,18,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: goals: not applicable,Construction,1,total,C0902.04,651,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Wholesale trade,1,total,C0902.04,198,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Machinery & equipment wholesaling,2,total,C0902.04,51,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Other wholesale trade,2,total,C0902.04,147,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Retail trade,1,total,C0902.04,117,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Accommodation & food services,1,total,C0902.04,816,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,"Transport, postal, & warehousing",1,total,C0902.04,162,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Information media & telecommunications,1,total,C0902.04,12,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Publishing,2,total,C0902.04,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Motion picture,2,total,C0902.04,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Telecommunications,2,total,C0902.04,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Financial & insurance services,1,total,C0902.04,30,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Finance,2,total,C0902.04,15,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Insurance,2,total,C0902.04,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Auxiliary,2,total,C0902.04,18,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,"Rental, hiring, & real estate services",1,total,C0902.04,78,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,"Professional, scientific, & technical services",1,total,C0902.04,129,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Computer systems design,2,total,C0902.04,24,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Other professional scientific,2,total,C0902.04,111,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Administrative & support services,1,total,C0902.04,72,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Education & training,1,total,C0902.04,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Health care & social assistance,1,total,C0902.04,99,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Arts & recreation services,1,total,C0902.04,33,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Other services,1,total,C0902.04,114,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,total,0,total,C0902.04,3144,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,total,0,6019 employees,C0903.01,27867,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: yes,total,0,20049 employees,C0903.01,7500,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: yes,total,0,50099 employees,C0903.01,2229,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: yes,total,0,100+ employees,C0903.01,1947,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: yes,"Agriculture, forestry, & fishing",1,total,C0903.01,3087,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Agriculture,2,total,C0903.01,2097,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Commercial fishing,2,total,C0903.01,51,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Forestry & logging,2,total,C0903.01,228,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Agriculture, forestry, & fishing support services",2,total,C0903.01,711,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Mining,1,total,C0903.01,96,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: major changes: yes,Manufacturing,1,total,C0903.01,4419,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Food, beverage, & tobacco",2,total,C0903.01,1053,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Textile, clothing, footwear, & leather",2,total,C0903.01,192,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Wood & paper product,2,total,C0903.01,441,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Printing, publishing, & recorded media",2,total,C0903.01,159,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Petroleum, coal, chemical, & associated product",2,total,C0903.01,360,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Non-metallic mineral product,2,total,C0903.01,180,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Metal product,2,total,C0903.01,732,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Transport and industrial machinery & equipment,2,total,C0903.01,795,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Other machinery & equipment,2,total,C0903.01,201,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Other manufacturing,2,total,C0903.01,303,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Electricity, gas, water, & waste services",1,total,C0903.01,180,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: major changes: yes,Construction,1,total,C0903.01,5634,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Wholesale trade,1,total,C0903.01,2619,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Machinery & equipment wholesaling,2,total,C0903.01,822,Number of businesses,1 and 2 and 3 and 6
